country_code,product_code,P
A001,0001,1.0
A002,0001,0.0
A003,0001,0.0
A004,0001,1.0
A005,0001,1.0
A006,0001,0.0
A007,0001,0.0
A008,0001,0.0
A009,0001,0.0
A010,0001,0.0
A011,0001,0.0
A012,0001,0.0
A013,0001,0.0
A014,0001,0.0
A015,0001,0.0
A016,0001,0.0
A017,0001,0.0
A018,0001,0.0
A019,0001,0.0
A020,0001,0.0
A021,0001,0.0
A022,0001,0.0
A023,0001,0.0
A024,0001,0.0
A025,0001,0.0
A026,0001,0.0
A027,0001,0.0
A028,0001,0.0
A029,0001,0.0
A030,0001,0.0
A031,0001,0.0
A032,0001,0.0
A033,0001,0.0
A034,0001,0.0
A035,0001,0.0
A036,0001,0.0
A037,0001,0.0
A038,0001,0.0
A039,0001,0.0
A040,0001,0.0
A041,0001,0.0
A042,0001,0.0
A043,0001,0.0
A044,0001,0.0
A045,0001,0.0
A046,0001,0.0
A047,0001,0.0
A048,0001,0.0
A049,0001,0.0
A050,0001,0.0
A051,0001,0.0
A052,0001,0.0
A053,0001,0.0
A054,0001,0.0
A055,0001,0.0
A056,0001,0.0
A057,0001,0.0
A058,0001,0.0
A059,0001,0.0
A060,0001,0.0
A061,0001,0.0
A062,0001,0.0
A063,0001,0.0
A064,0001,0.0
A065,0001,0.0
A066,0001,0.0
A067,0001,0.0
A068,0001,0.0
A069,0001,0.0
A070,0001,0.0
A071,0001,0.0
A072,0001,0.0
A073,0001,0.0
A074,0001,0.0
A075,0001,0.0
B001,0001,0.0
B002,0001,0.0
B003,0001,0.0
B004,0001,0.0
B005,0001,0.0
B006,0001,0.0
B007,0001,0.0
B008,0001,0.0
B009,0001,0.0
B010,0001,0.0
B011,0001,0.0
B012,0001,0.0
B013,0001,0.0
B014,0001,0.0
B015,0001,0.0
B016,0001,0.0
B017,0001,0.0
B018,0001,0.0
B019,0001,0.0
B020,0001,0.0
B021,0001,0.0
B022,0001,0.0
B023,0001,0.0
B024,0001,0.0
B025,0001,0.0
B026,0001,0.0
B027,0001,0.0
B028,0001,0.0
B029,0001,0.0
B030,0001,0.0
B031,0001,0.0
B032,0001,0.0
B033,0001,0.0
B034,0001,0.0
B035,0001,0.0
B036,0001,0.0
B037,0001,0.0
B038,0001,0.0
B039,0001,0.0
B040,0001,0.0
B041,0001,0.0
B042,0001,0.0
B043,0001,0.0
B044,0001,0.0
B045,0001,0.0
B046,0001,0.0
B047,0001,0.0
B048,0001,0.0
B049,0001,0.0
B050,0001,0.0
B051,0001,0.0
B052,0001,0.0
B053,0001,0.0
B054,0001,0.0
B055,0001,0.0
B056,0001,0.0
B057,0001,0.0
B058,0001,0.0
B059,0001,0.0
B060,0001,0.0
B061,0001,0.0
B062,0001,0.0
B063,0001,0.0
B064,0001,0.0
B065,0001,0.0
B066,0001,0.0
B067,0001,0.0
B068,0001,0.0
B069,0001,0.0
B070,0001,0.0
B071,0001,0.0
B072,0001,0.0
B073,0001,0.0
B074,0001,0.0
B075,0001,0.0
A001,0002,1.0
A002,0002,0.0
A003,0002,1.0
A004,0002,0.0
A005,0002,0.0
A006,0002,0.0
A007,0002,0.0
A008,0002,0.0
A009,0002,0.0
A010,0002,0.0
A011,0002,0.0
A012,0002,0.0
A013,0002,0.0
A014,0002,0.0
A015,0002,0.0
A016,0002,0.0
A017,0002,0.0
A018,0002,0.0
A019,0002,0.0
A020,0002,0.0
A021,0002,0.0
A022,0002,0.0
A023,0002,0.0
A024,0002,0.0
A025,0002,0.0
A026,0002,0.0
A027,0002,0.0
A028,0002,0.0
A029,0002,0.0
A030,0002,0.0
A031,0002,0.0
A032,0002,0.0
A033,0002,0.0
A034,0002,0.0
A035,0002,0.0
A036,0002,0.0
A037,0002,0.0
A038,0002,0.0
A039,0002,0.0
A040,0002,0.0
