country_code,product_code,P
A001,001,1.0
A002,001,1.0
A003,001,0.0
A004,001,0.0
A005,001,0.0
A006,001,0.0
A007,001,0.0
A008,001,0.0
A009,001,0.0
A010,001,0.0
A011,001,0.0
A012,001,0.0
A013,001,0.0
A014,001,0.0
A015,001,0.0
A016,001,0.0
A017,001,0.0
A018,001,0.0
A019,001,0.0
A020,001,0.0
A021,001,0.0
A022,001,0.0
A023,001,0.0
A024,001,0.0
A025,001,0.0
A026,001,0.0
A027,001,0.0
A028,001,0.0
A029,001,0.0
A030,001,0.0
A031,001,0.0
A032,001,0.0
A033,001,0.0
A034,001,0.0
A035,001,0.0
A036,001,0.0
A037,001,0.0
A038,001,0.0
A039,001,0.0
A040,001,0.0
A041,001,0.0
A042,001,0.0
A043,001,0.0
A044,001,0.0
A045,001,0.0
A046,001,0.0
A047,001,0.0
A048,001,0.0
A049,001,0.0
A050,001,0.0
A051,001,0.0
A052,001,0.0
A053,001,0.0
A054,001,0.0
A055,001,0.0
A056,001,0.0
A057,001,0.0
A058,001,0.0
A059,001,0.0
A060,001,0.0
A061,001,0.0
A062,001,0.0
A063,001,0.0
A064,001,0.0
A065,001,0.0
A066,001,0.0
A067,001,0.0
A068,001,0.0
A069,001,0.0
A070,001,0.0
A071,001,0.0
A072,001,0.0
A073,001,0.0
A074,001,0.0
A075,001,0.0
A076,001,0.0
A077,001,0.0
A078,001,0.0
A079,001,0.0
A080,001,0.0
A081,001,0.0
A082,001,0.0
A083,001,0.0
A084,001,0.0
A085,001,0.0
A086,001,0.0
A087,001,0.0
A088,001,0.0
A089,001,0.0
A090,001,0.0
A091,001,0.0
A092,001,0.0
A093,001,0.0
A094,001,0.0
A095,001,0.0
A096,001,0.0
A097,001,0.0
A098,001,0.0
A099,001,0.0
A100,001,0.0
B001,001,0.0
B002,001,0.0
B003,001,0.0
B004,001,0.0
B005,001,0.0
B006,001,0.0
B007,001,0.0
B008,001,0.0
B009,001,0.0
B010,001,0.0
B011,001,0.0
B012,001,0.0
B013,001,0.0
B014,001,0.0
B015,001,0.0
B016,001,0.0
B017,001,0.0
B018,001,0.0
B019,001,0.0
B020,001,0.0
B021,001,0.0
B022,001,0.0
B023,001,0.0
B024,001,0.0
B025,001,0.0
B026,001,0.0
B027,001,0.0
B028,001,0.0
B029,001,0.0
B030,001,0.0
B031,001,0.0
B032,001,0.0
B033,001,0.0
B034,001,0.0
B035,001,0.0
B036,001,0.0
B037,001,0.0
B038,001,0.0
B039,001,0.0
B040,001,0.0
B041,001,0.0
B042,001,0.0
B043,001,0.0
B044,001,0.0
B045,001,0.0
B046,001,0.0
B047,001,0.0
B048,001,0.0
B049,001,0.0
B050,001,0.0
B051,001,0.0
B052,001,0.0
B053,001,0.0
B054,001,0.0
B055,001,0.0
B056,001,0.0
B057,001,0.0
B058,001,0.0
B059,001,0.0
B060,001,0.0
B061,001,0.0
B062,001,0.0
B063,001,0.0
B064,001,0.0
B065,001,0.0
B066,001,0.0
B067,001,0.0
B068,001,0.0
B069,001,0.0
B070,001,0.0
B071,001,0.0
B072,001,0.0
B073,001,0.0
B074,001,0.0
B075,001,0.0
B076,001,0.0
B077,001,0.0
B078,001,0.0
B079,001,0.0
B080,001,0.0
B081,001,0.0
B082,001,0.0
B083,001,0.0
B084,001,0.0
B085,001,0.0
B086,001,0.0
B087,001,0.0
B088,001,0.0
B089,001,0.0
B090,001,0.0
B091,001,0.0
B092,001,0.0
B093,001,0.0
B094,001,0.0
B095,001,0.0
B096,001,0.0
B097,001,0.0
B098,001,0.0
B099,001,0.0
B100,001,0.0
A001,002,1.0
A002,002,0.0
A003,002,0.0
A004,002,0.0
A005,002,0.0
A006,002,0.0
A007,002,0.0
A008,002,0.0
A009,002,0.0
A010,002,0.0
A011,002,0.0
A012,002,0.0
A013,002,0.0
A014,002,0.0
A015,002,0.0
A016,002,0.0
A017,002,0.0
A018,002,0.0
A019,002,0.0
A020,002,0.0
A021,002,0.0
A022,002,0.0
A023,002,0.0
A024,002,0.0
A025,002,0.0
A026,002,0.0
A027,002,0.0
A028,002,0.0
A029,002,0.0
A030,002,0.0
A031,002,0.0
A032,002,0.0
A033,002,0.0
A034,002,0.0
A035,002,0.0
A036,002,0.0
A037,002,0.0
A038,002,0.0
A039,002,0.0
A040,002,0.0
A041,002,0.0
A042,002,0.0
A043,002,0.0
A044,002,0.0
A045,002,0.0
A046,002,0.0
A047,002,0.0
A048,002,0.0
A049,002,0.0
A050,002,0.0
A051,002,0.0
A052,002,0.0
A053,002,0.0
A054,002,0.0
A055,002,0.0
A056,002,0.0
A057,002,0.0
A058,002,0.0
A059,002,0.0
A060,002,0.0
A061,002,0.0
A062,002,0.0
A063,002,0.0
A064,002,0.0
A065,002,0.0
A066,002,0.0
A067,002,0.0
A068,002,0.0
A069,002,0.0
A070,002,0.0
A071,002,0.0
A072,002,0.0
A073,002,0.0
A074,002,0.0
A075,002,0.0
A076,002,0.0
A077,002,0.0
A078,002,0.0
A079,002,0.0
A080,002,0.0
A081,002,0.0
A082,002,0.0
A083,002,0.0
A084,002,0.0
A085,002,0.0
A086,002,0.0
A087,002,0.0
A088,002,0.0
A089,002,0.0
A090,002,0.0
A091,002,0.0
A092,002,0.0
A093,002,0.0
A094,002,0.0
A095,002,0.0
A096,002,0.0
A097,002,0.0
A098,002,0.0
A099,002,0.0
A100,002,0.0
B001,002,0.0
B002,002,0.0
B003,002,0.0
B004,002,0.0
B005,002,0.0
B006,002,0.0
B007,002,0.0
B008,002,0.0
B009,002,0.0
B010,002,0.0
B011,002,0.0
B012,002,0.0
B013,002,0.0
B014,002,0.0
B015,002,0.0
B016,002,0.0
B017,002,0.0
B018,002,0.0
B019,002,0.0
B020,002,0.0
B021,002,0.0
B022,002,0.0
B023,002,0.0
B024,002,0.0
B025,002,0.0
B026,002,0.0
B027,002,0.0
B028,002,0.0
B029,002,0.0
B030,002,0.0
B031,002,0.0
B032,002,0.0
B033,002,0.0
B034,002,0.0
B035,002,0.0
B036,002,0.0
B037,002,0.0
B038,002,0.0
B039,002,0.0
B040,002,0.0
B041,002,0.0
B042,002,0.0
B043,002,0.0
B044,002,0.0
B045,002,0.0
B046,002,0.0
B047,002,0.0
B048,002,0.0
B049,002,0.0
B050,002,0.0
B051,002,0.0
B052,002,0.0
B053,002,0.0
B054,002,0.0
B055,002,0.0
B056,002,0.0
B057,002,0.0
B058,002,0.0
B059,002,0.0
B060,002,0.0
B061,002,0.0
B062,002,0.0
B063,002,0.0
B064,002,0.0
B065,002,0.0
B066,002,0.0
B067,002,0.0
B068,002,0.0
B069,002,0.0
B070,002,0.0
B071,002,0.0
B072,002,0.0
B073,002,0.0
B074,002,0.0
B075,002,0.0
B076,002,0.0
B077,002,0.0
B078,002,0.0
B079,002,0.0
B080,002,0.0
B081,002,0.0
B082,002,0.0
B083,002,0.0
B084,002,0.0
B085,002,0.0
B086,002,0.0
B087,002,0.0
B088,002,0.0
B089,002,0.0
B090,002,0.0
B091,002,0.0
B092,002,0.0
B093,002,0.0
B094,002,0.0
B095,002,0.0
B096,002,0.0
B097,002,0.0
B098,002,0.0
B099,002,0.0
B100,002,0.0
A001,003,1.0
A002,003,0.0
A003,003,1.0
A004,003,0.0
A005,003,0.0
A006,003,0.0
A007,003,0.0
A008,003,0.0
A009,003,0.0
A010,003,0.0
A011,003,0.0
A012,003,0.0
A013,003,0.0
A014,003,0.0
