exporter,year,population,eci,leftDistance2Origin_cp,leftDistance2Origin_ccp,leftSimDirection2MostComplex_cp,leftSimDirection2MostComplex_ccp,leftDistance2MostComplex_cp,leftDistance2MostComplex_ccp,leftEntropyCommunities_cp,leftEntropyCommunities_ccp,rightDistance2Origin_cp,rightDistance2Origin_ccp,rightSimDirection2MostComplex_cp,rightSimDirection2MostComplex_ccp,rightDistance2MostComplex_cp,rightDistance2MostComplex_ccp,rightEntropyCommunities_cp,rightEntropyCommunities_ccp,EntropyCommunities_ccp,EntropyCommunities_cp,GDPpcPPPconstant2011intUSD,GDPpcconst2010USD,incomeLevel,latitude,longitude,region,TotalExports,TotalImports
AGO,1962,5866061,-0.563580691814423,1.12827869345427,0,-0.00987097784136836,0,0.214862331511508,0.0140574398912722,0,0,1.20618604766011,0,-0.00361776292263036,0,0.597522475570543,1.06156226861861,0,0,4.2483263252441,14.9919313296504,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,130.767840001194,127.856989772507
AGO,1963,5980417,-1.13936734199524,1.52380658018029,0,-0.00999445008350922,0,0.258594052720559,0.430652335072808,0,0,1.04029432493439,0,-0.00512327313134572,0,0.611498685078042,1.01828525616543,0,0,4.06508778390854,14.9450671168436,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,154.151585513763,108.168011639977
AGO,1964,6093321,-1.18507206439972,1.70777839194129,0,-0.00862647465900864,0,0.263112586620306,0.293640140217277,0,0,1.25165136597081,0,0.00122343504575017,0,0.587789898458503,0.96388400486645,0,0,3.91849087033754,15.0448964688278,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,227.343425033951,129.803547759151
AGO,1965,6203299,-1.02876842021942,1.42359238712937,0,-0.00997838079770794,0,0.240990291167455,0.0481098094540833,0,0,0.998279938642502,0,-0.0049785622265534,0,0.597044913951208,1.03019174398519,0,0,4.06720791499825,,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,216.874166614052,157.993831736801
AGO,1966,6309770,-1.02095592021942,1.40997913822138,0,-0.00999738009624187,0,0.235973079826472,0.00686102026736207,0,0,1.07450979238111,0,-0.00633536588155671,0,0.669427227351174,0.989071846105271,0,0,4.37855433938497,14.6482626521155,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,229.388752003861,163.329477896805
AGO,1967,6414995,-1.13388574123383,1.52662864701425,0,-0.00996914760838849,0,0.252766985173589,0.00732669326781121,0,0,1.26483086368509,0,-0.00524608468023079,0,0.602899882567986,0.895357712430853,0,0,4.20119478805126,14.3382793869246,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,244.047353073303,210.691028633598
AGO,1968,6523791,-1.1254688501358,1.44278955701691,0,-0.00999990571467668,0,0.239214765698251,0.00571760133062667,0,0,0.879122490152848,0,-0.00603919267032173,0,0.620529837721159,0.893151230220519,0,0,3.99093985708897,,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,298.931764005096,232.273644610558
AGO,1969,6642632,-0.799454689025879,1.23478026647931,0,-0.00982880012337678,0,0.197508014493098,0.00677434142100622,0,0,0.797947135360365,0,-0.00468481665370166,0,0.623812622552318,0.824335040318467,0,0,3.84471981498407,13.9169262359722,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,339.844566711304,304.035568031729
AGO,1970,6776381,-1.11680436134338,1.57885113972955,0,-0.00558239352302213,0,0.258687173044214,0.00847630546080429,0,0,0.869695647097699,0,-0.0022986186710437,0,0.623417759724394,0.790038087015677,0,0,3.78503873337201,13.7668799769515,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,427.860696131912,349.727050216541
AGO,1971,6927269,-1.26372396945953,1.54870721599792,0,-0.00971424919607394,0,0.267331334092244,0.00445320067011655,0,0,0.894354946051094,0,-0.00377811445729792,0,0.630031269833603,0.767178784716365,0,0,4.09095264209119,13.7025509842807,,,Lower middle income,-8.81155,13.242,Sub-Saharan Africa,443.56724615028,417.13728966684
